basepolity,period_start,latitude,longitude,polity_territory,temperature,polity_population,cc_infra,kinship1
IrMuzzf,1400,31.361706,48.732086,144058,24.689095,1718584,.76172155,-.035137065
IrJalay,1400,31.361706,48.732086,466000,24.689095,244896703,.638596,.086926974
IrIlkhn,1400,38.287216,33.17897,3800000,24.689095,5250000,1,.6364994
UzTimur,1400,39.874771,65.378059,5500000,24.689095,49000000,1,.6364994
IrAkKoy,1400,31.361706,48.732086,1279952,24.689095,6954895,.8888889,.6364994
IrSusa3,-2900,31.361706,48.732086,36415,24.690109,134809,.5777778,-.14919627
IrKaraK,1500,31.361706,48.732086,140401,24.696302,2181492,.77254128,-.038784437
UzTimur,1500,39.874771,65.378059,5500000,24.696302,49000000,1,.6364994
IrSafvd,1500,31.361706,48.732086,2700000,24.696302,9000000,1,.6364994
IrAkKoy,1500,31.361706,48.732086,1800000,24.696302,32323670,.8888889,.6364994
PkChalc,-3800,28.497017,68.229736,2770,24.71825,382789,.48888889,-.43978122
IrSusa3,-2600,31.361706,48.732086,27297,24.728579,116719,.5777778,-.14001544
IrAwanE,-2600,31.361706,48.732086,200000,24.728579,142408,.66666669,-.010969706
IrElmCP,-1000,31.361706,48.732086,507982,24.739889,2877755,.011111111,.10265949
IrShima,-2000,31.361706,48.732086,75948,24.755636,1067154,.33333334,.20189041
IqAkkad,-2000,31.361706,48.732086,126323,24.755636,391086,.77777779,.22016606
IqUrIII,-2000,31.361706,48.732086,68067,24.755636,175000,.33333334,.27982092
IrElmCP,-1100,31.361706,48.732086,437801,24.770887,2164878,.011111111,.11663317
